지점,지점명,date,co2
132,안면도(감),1-99,373.1
132,안면도(감),2-99,374
132,안면도(감),3-99,374.9
132,안면도(감),4-99,375.1
132,안면도(감),5-99,374
132,안면도(감),6-99,370.8
132,안면도(감),7-99,366.6
132,안면도(감),8-99,363.8
132,안면도(감),9-99,365.3
132,안면도(감),10-99,370
132,안면도(감),11-99,372.8
132,안면도(감),12-99,373.8
132,안면도(감),Jan-00,375.3
132,안면도(감),Feb-00,376.3
132,안면도(감),Mar-00,377.1
132,안면도(감),Apr-00,377.6
132,안면도(감),May-00,375.8
132,안면도(감),Jun-00,372.1
132,안면도(감),Jul-00,368.1
132,안면도(감),Aug-00,365.7
132,안면도(감),Sep-00,367.5
132,안면도(감),Oct-00,372
132,안면도(감),Nov-00,375.2
132,안면도(감),Dec-00,376.7
132,안면도(감),01-01,377.8
132,안면도(감),01-02,378.8
132,안면도(감),01-03,379.5
132,안면도(감),01-04,379.8
132,안면도(감),01-05,378.8
132,안면도(감),01-06,375.2
132,안면도(감),01-07,370.2
132,안면도(감),01-08,367.8
132,안면도(감),01-09,369.7
132,안면도(감),01-10,374.2
132,안면도(감),01-11,377.6
132,안면도(감),01-12,378.3
132,안면도(감),02-01,379.4
132,안면도(감),02-02,380.5
132,안면도(감),02-03,380.6
132,안면도(감),02-04,381
132,안면도(감),02-05,380.3
132,안면도(감),02-06,376.9
132,안면도(감),02-07,372.7
132,안면도(감),02-08,369.9
132,안면도(감),02-09,371.8
132,안면도(감),02-10,376.9
132,안면도(감),02-11,380
132,안면도(감),02-12,380.9
132,안면도(감),03-01,381.9
132,안면도(감),03-02,382.9
132,안면도(감),03-03,384.1
132,안면도(감),03-04,384.7
132,안면도(감),03-05,383.2
132,안면도(감),03-06,379.4
132,안면도(감),03-07,374.7
132,안면도(감),03-08,372.1
132,안면도(감),03-09,374
132,안면도(감),03-10,378.6
132,안면도(감),03-11,381.4
132,안면도(감),03-12,382.3
132,안면도(감),04-01,384.1
132,안면도(감),04-02,385.6
132,안면도(감),04-03,385.9
132,안면도(감),04-04,386.2
132,안면도(감),04-05,384.9
132,안면도(감),04-06,381.4
132,안면도(감),04-07,376.9
132,안면도(감),04-08,374.1
132,안면도(감),04-09,376.1
132,안면도(감),04-10,380.8
132,안면도(감),04-11,383.7
132,안면도(감),04-12,385.4
132,안면도(감),05-01,386.6
132,안면도(감),05-02,387.5
132,안면도(감),05-03,388.2
132,안면도(감),05-04,387.9
132,안면도(감),05-05,387
132,안면도(감),05-06,384
132,안면도(감),05-07,378.9
132,안면도(감),05-08,376.3
132,안면도(감),05-09,378.3
132,안면도(감),05-10,382.7
132,안면도(감),05-11,386.3
132,안면도(감),05-12,387.5
132,안면도(감),06-01,388.3
132,안면도(감),06-02,389.1
132,안면도(감),06-03,390
132,안면도(감),06-04,391
132,안면도(감),06-05,389.9
132,안면도(감),06-06,386.4
132,안면도(감),06-07,381.8
132,안면도(감),06-08,378.6
132,안면도(감),06-09,380.6
132,안면도(감),06-10,385.2
132,안면도(감),06-11,387.9
132,안면도(감),06-12,389.5
132,안면도(감),07-01,390.5
132,안면도(감),07-02,391
132,안면도(감),07-03,392.2
132,안면도(감),07-04,393
132,안면도(감),07-05,391.7
132,안면도(감),07-06,388.1
132,안면도(감),07-07,383.3
132,안면도(감),07-08,381
132,안면도(감),07-09,383
132,안면도(감),07-10,387.1
132,안면도(감),07-11,390.2
132,안면도(감),07-12,391.6
132,안면도(감),08-01,392.5
132,안면도(감),08-02,393.5
132,안면도(감),08-03,394.6
132,안면도(감),08-04,395.2
132,안면도(감),08-05,393.9
132,안면도(감),08-06,390.5
132,안면도(감),08-07,385.7
132,안면도(감),08-08,382.8
132,안면도(감),08-09,384.8
132,안면도(감),08-10,389.2
132,안면도(감),08-11,392.3
132,안면도(감),08-12,393.7
132,안면도(감),09-01,394.4
132,안면도(감),09-02,395.2
132,안면도(감),09-03,396.4
132,안면도(감),09-04,397
132,안면도(감),09-05,395.4
132,안면도(감),09-06,391.6
132,안면도(감),09-07,387.3
132,안면도(감),09-08,384.9
132,안면도(감),09-09,386.8
132,안면도(감),09-10,391.6
132,안면도(감),09-11,394.9
132,안면도(감),09-12,396
132,안면도(감),10-01,397.1
132,안면도(감),10-02,397.9
132,안면도(감),10-03,398
132,안면도(감),10-04,398.3
132,안면도(감),10-05,397.8
132,안면도(감),10-06,394.8
132,안면도(감),10-07,390.3
132,안면도(감),10-08,387.8
132,안면도(감),10-09,389.5
132,안면도(감),10-10,393.6
132,안면도(감),10-11,396.6
132,안면도(감),10-12,397.6
132,안면도(감),11-01,398.6
132,안면도(감),11-02,399.4
132,안면도(감),11-03,399.8
132,안면도(감),11-04,400.5
132,안면도(감),11-05,400
132,안면도(감),11-06,396.9
132,안면도(감),11-07,392.1
132,안면도(감),11-08,388.8
132,안면도(감),11-09,390.9
132,안면도(감),11-10,395.9
132,안면도(감),11-11,398.6
132,안면도(감),11-12,399.9
132,안면도(감),12-01,401.3
132,안면도(감),12-02,402.2
132,안면도(감),12-03,403.4
132,안면도(감),12-04,404.3
132,안면도(감),12-05,403.2
132,안면도(감),12-06,399.6
132,안면도(감),12-07,394.9
132,안면도(감),12-08,392.2
132,안면도(감),12-09,393.9
132,안면도(감),12-10,398.9
132,안면도(감),12-11,402.3
132,안면도(감),12-12,403.1
132,안면도(감),13-1,404.2
132,안면도(감),13-2,405.3
132,안면도(감),13-3,406
132,안면도(감),13-4,406.8
132,안면도(감),13-5,405.5
132,안면도(감),13-6,401.9
132,안면도(감),13-7,397.9
132,안면도(감),13-8,394.8
132,안면도(감),13-9,396.3
132,안면도(감),13-10,400.8
132,안면도(감),13-11,403.9
132,안면도(감),13-12,405.6
132,안면도(감),14-1,406.6
132,안면도(감),14-2,407.7
132,안면도(감),14-3,409.2
132,안면도(감),14-4,409.1
132,안면도(감),14-5,407.5
132,안면도(감),14-6,404.3
132,안면도(감),14-7,399.3
132,안면도(감),14-8,396.9
132,안면도(감),14-9,398.9
132,안면도(감),14-10,402.6
132,안면도(감),14-11,405.8
132,안면도(감),14-12,407.8
132,안면도(감),15-1,409.2
132,안면도(감),15-2,410.2
132,안면도(감),15-3,410.6
132,안면도(감),15-4,411.1
132,안면도(감),15-5,410
132,안면도(감),15-6,406.3
132,안면도(감),15-7,402
132,안면도(감),15-8,399.2
132,안면도(감),15-9,400.8
132,안면도(감),15-10,405.5
132,안면도(감),15-11,409
132,안면도(감),15-12,410.4
132,안면도(감),16-1,411.4
132,안면도(감),16-2,412.4
132,안면도(감),16-3,413.7
132,안면도(감),16-4,414.2
132,안면도(감),16-5,412.8
132,안면도(감),16-6,409.1
132,안면도(감),16-7,404.5
132,안면도(감),16-8,402.1
132,안면도(감),16-9,404.3
132,안면도(감),16-10,408.8
132,안면도(감),16-11,411.8
132,안면도(감),16-12,413.2
132,안면도(감),17-1,413.5
132,안면도(감),17-2,414.5
132,안면도(감),17-3,415.8
132,안면도(감),17-4,416.3
132,안면도(감),17-5,415.2
132,안면도(감),17-6,412.1
132,안면도(감),17-7,408
132,안면도(감),17-8,405.1
132,안면도(감),17-9,406.1
132,안면도(감),17-10,410.3
132,안면도(감),17-11,414.1
132,안면도(감),17-12,415.7
132,안면도(감),18-6,414.13
132,안면도(감),18-7,410.2
132,안면도(감),18-8,406.96
132,안면도(감),18-9,408.85
132,안면도(감),18-10,414.18
132,안면도(감),18-11,417.66
132,안면도(감),18-12,418.41
132,안면도(감),19-1,419
132,안면도(감),19-2,420
132,안면도(감),19-3,421.1
132,안면도(감),19-4,422
132,안면도(감),19-5,420.5
132,안면도(감),19-6,416.8
132,안면도(감),19-7,413.6
132,안면도(감),19-8,411.8
132,안면도(감),19-9,412.8
132,안면도(감),19-10,416.2
132,안면도(감),19-11,419.3
132,안면도(감),19-12,421.2
